Numero_de_identificacion,Ejercicio,Mes,Nombre_del_modulo,Tipo_de_asentamiento,Nombre_de_asentamiento,Tipo_de_vialidad,Nombre_de_la_vialidad,Numero_exterior,Numero_interior,Codigo_postal,Dias,Horario_de_apertura,Horario_de_cierre,Servicios,Numero_de_servicios,Telefono_de_contacto,Georreferencia,Nota
2.0,2021,Diciembre,Guardia de la Academia,Colonia,La Grange,Avenida,Adolfo López Mateo,Kilometro 7,0.0,66489.0,Lunes a Viernes,08:00:00,16:00:00,Informacion de cadete,1.0,8181581219.0,"25.731296737644534, -100.25881626665242",
2.0,2022,ABRIL,Guardia de la Academia,Colonia,La Grange,Avenida,Adolfo López Mateo,Kilometro 7,0.0,66489.0,Lunes a Viernes,08:00:00,16:00:00,Informacion de cadete,1.0,8181581219.0,"25.731296737644534, -100.25881626665242",
1.0,2022,JUNIO,Modulo de Informacion de Seguridad Pública,Residencia,Residencial Roble,calle,Jorge Gonzalez Camarena,107,0.0,66400.0,Lunes a Viernes,08:00:00,17:00:00,Informacion de Seguridad,1.0,8181581380.0,"25.765822305435172, -100.28743871337663",
2.0,2022,Enero Febrero y Marzo,Guardia de la Academia,Colonia,La Grange,Avenida,Adolfo López Mateo,Kilometro 7,0.0,66489.0,Lunes a Viernes,08:00:00,16:00:00,Informacion de cadete,1.0,8181581219.0,"25.731296737644534, -100.25881626665242",
1.0,2021,Abril,Modulo de Informacion de Seguridad Pública,Residencia,Residencial Roble,calle,Jorge Gonzalez Camarena,107,0.0,66400.0,lunes a viernes,08:00:00,17:00:00,Informacion de Seguridad,1.0,8181581380.0,"25.765822305435172, -100.28743871337663",
2.0,2021,Abril,Guardia de la Academia,Colonia,La Grange,Avenida,Adolfo López Mateo,Kilometro 7,0.0,66489.0,lunes a viernes,08:00:00,16:00:00,Informacion de cadete,1.0,8181581219.0,"25.731296737644534, -100.25881626665242",
1.0,2021,Junio,Modulo de Informacion de Seguridad Pública,Residencia,Residencial Roble,calle,Jorge Gonzalez Camarena,107,0.0,66400.0,Lunes a Viernes,08:00:00,17:00:00,Informacion de Seguridad,1.0,8181581380.0,"25.765822305435172, -100.28743871337663",
1.0,2021,Enero,Modulo de Informacion de Seguridad Pública,Residencia,Residencial Roble,calle,Jorge Gonzalez Camarena,107,0.0,66400.0,Lunes a Viernes,08:00:00,17:00:00,Informacion de Seguridad,1.0,8181581380.0,"25.765822305435172, -100.28743871337663",
2.0,2021,Enero,Guardias de la Academia,Colonia,La Grange,Avenida,Adolfo López Mateo,Kilometro 7,0.0,66489.0,Lunes a Viernes,08:00:00,16:00:00,Informacion de cadete,1.0,8181581219.0,"25.731296737644534, -100.25881626665242",
2.0,2021,Marzo,Guardias de la Academia,Colonia,La Grange,Avenida,Adolfo López Mateo,Kilometro 7,0.0,66489.0,Lunes a Viernes,08:00:00,16:00:00,Informacion de cadete,1.0,8181581219.0,"25.731296737644534, -100.25881626665242",
1.0,2021,Julio,Modulo de Informacion de Seguridad Pública,Residencia,Residencial Roble,calle,Jorge Gonzalez Camarena,107,0.0,66400.0,Lunes a Viernes,08:00:00,17:00:00,Informacion de Seguridad,1.0,8181581380.0,"25.765822305435172, -100.28743871337663",
1.0,2021,Septiembre,Modulo de Informacion de Seguridad Pública,Residencia,Residencial Roble,calle,Jorge Gonzalez Camarena,107,0.0,66400.0,Lunes a Viernes,08:00:00,17:00:00,Informacion de Seguridad,1.0,8181581380.0,"25.765822305435172, -100.28743871337663",
1.0,2022,Julio,Seguridad Pública,Residencia,Residencial Roble,calle,Jorge Gonzalez Camarena,107,0.0,66400.0,Lunes a Viernes,08:00:00,16:00:00,Informacion de Seguridad,1.0,8181581380.0,"25.765822305435172, -100.28743871337663",
1.0,2022,Agosto,Seguridad Pública,Residencia,Residencial Roble,calle,Jorge Gonzalez Camarena,107,0.0,66400.0,Lunes a Viernes,08:00:00,16:00:00,Informacion de Seguridad,1.0,8181581380.0,"25.765822305435172, -100.28743871337663",
