Numero_de_identificacion,Ejercicio,Mes,Nombre_del_modulo,Tipo_de_asentamiento,Nombre_de_asentamiento,Tipo_de_vialidad,Nombre_de_la_vialidad,Numero_exterior,Numero_interior,Codigo_postal,Dias,Horario_de_apertura,Horario_de_cierre,Servicios,Numero_de_servicios,Telefono_de_contacto,Georreferencia,Nota
2,2022,Enero - Marzo,Secretaría de Seguridad Publica y Vialidad,Colonia,Enrique  Rangel,Avenida,Avenida Miguel Aleman,103,Sin número,66354,Lunes-Sábado,08:00:00,17:00:00,Abanderamiento,117,81 86 76 19 00  Extensión 1940,"25.6634075, -100.4590926",Sabados de 09:00 a 11:00 de la mañana
5,2022,Enero - Marzo,Secretaría de Seguridad Publica y Vialidad,Colonia,Enrique  Rangel,Avenida,Avenida Miguel Aleman,103,Sin número,66354,Lunes-Sábado,08:00:00,17:00:00,Liberaciones de vehiculos,182,81 86 76 19 00  Extensión 1940,"25.6634075, -100.4590926",Sabados de 09:00 a 11:00 de la mañana
4,2022,Abril - Junio,Secretaría de Seguridad Publica y Vialidad,Colonia,Enrique  Rangel,Avenida,Avenida Miguel Aleman,103,Sin número,66354,Lunes-Sábado,08:00:00,17:00:00,Licencias,1622,81 86 76 19 00  Extensión 1940,"25.6634075, -100.4590926",Sabados de 09:00 a 11:00 de la mañana
1,2022,Julio - Septiembre,Secretaría de Seguridad Publica y Vialidad,Colonia,Enrique  Rangel,Avenida,Avenida Miguel Aleman,103,Sin número,66354,Lunes-Sábado,08:00:00,17:00:00,Area Restringida,63,81 86 76 19 00  Extensión 1940,"25.6634075, -100.4590926",Sabados de 09:00 a 11:00 de la mañana
2,2022,Julio - Septiembre,Secretaría de Seguridad Publica y Vialidad,Colonia,Enrique  Rangel,Avenida,Avenida Miguel Aleman,103,Sin número,66354,Lunes-Sábado,08:00:00,17:00:00,Abanderamiento,14,81 86 76 19 00  Extensión 1940,"25.6634075, -100.4590926",Sabados de 09:00 a 11:00 de la mañana
3,2022,Julio - Septiembre,Secretaría de Seguridad Publica y Vialidad,Colonia,Enrique  Rangel,Avenida,Avenida Miguel Aleman,103,Sin número,66354,Lunes-Sábado,08:00:00,17:00:00,Carga y descarga,6,81 86 76 19 00  Extensión 1940,"25.6634075, -100.4590926",Sabados de 09:00 a 11:00 de la mañana
5,2022,Julio - Septiembre,Secretaría de Seguridad Publica y Vialidad,Colonia,Enrique  Rangel,Avenida,Avenida Miguel Aleman,103,Sin número,66354,Lunes-Sábado,08:00:00,17:00:00,Liberaciones de vehiculos,385,81 86 76 19 00  Extensión 1940,"25.6634075, -100.4590926",Sabados de 09:00 a 11:00 de la mañana
7,2022,Julio - Septiembre,Secretaría de Seguridad Publica y Vialidad,Colonia,Enrique  Rangel,Avenida,Avenida Migel Aleman,103,sin número,66354,Lunes-Sábado,08:00 a.m.,17:00:00,Articulo 46 Maniobra,13,8186761900 Extensión 1940,"25.6634075, -100.4590926",Sábados de 09:00 a 11:00 de la mañana
1,2021,Enero - Marzo,Secretaría de Seguridad Publica y Vialidad,Colonia,Enrique  Rangel,Avenida,Avenida Miguel Aleman,103,Sin número,66354,Lunes-Sábado,08:00:00,17:00:00,Area Restringida,84,81 86 76 19 00  Extensión 1940,"25.6634075, -100.4590926",Sabados de 09:00 a 11:00 de la mañana
4,2021,Enero - Marzo,Secretaría de Seguridad Publica y Vialidad,Colonia,Enrique  Rangel,Avenida,Avenida Miguel Aleman,103,Sin número,66354,Lunes-Sábado,08:00:00,17:00:00,Licencias,914,81 86 76 19 00  Extensión 1940,"25.6634075, -100.4590926",Sabados de 09:00 a 11:00 de la mañana
6,2021,Enero - Marzo,Secretaría de Seguridad Publica y Vialidad,Colonia,Enrique  Rangel,Avenida,Avenida Miguel Aleman,103,Sin número,66354,Lunes-Sábado,08:00:00,17:00:00,Exclusivos,6,81 86 76 19 00  Extensión 1940,"25.6634075, -100.4590926",Sabados de 09:00 a 11:00 de la mañana
4,2021,Abril - Junio,Secretaría de Seguridad Publica y Vialidad,Colonia,Enrique  Rangel,Avenida,Avenida Miguel Aleman,103,Sin número,66354,Lunes-Sábado,08:00:00,17:00:00,Licencias,1270,81 86 76 19 00  Extensión 1940,"25.6634075, -100.4590926",Sabados de 09:00 a 11:00 de la mañana
3,2021,Julio - Septiembre,Secretaría de Seguridad Publica y Vialidad,Colonia,Enrique  Rangel,Avenida,Avenida Miguel Aleman,103,Sin número,66354,Lunes-Sábado,08:00:00,17:00:00,Carga y descarga,154,81 86 76 19 00  Extensión 1940,"25.6634075, -100.4590926",Sabados de 09:00 a 11:00 de la mañana
6,2021,Julio - Septiembre,Secretaría de Seguridad Publica y Vialidad,Colonia,Enrique  Rangel,Avenida,Avenida Miguel Aleman,103,Sin número,66354,Lunes-Sábado,08:00:00,17:00:00,Exclusivos,17,81 86 76 19 00  Extensión 1940,"25.6634075, -100.4590926",Sabados de 09:00 a 11:00 de la mañana
1,2021,Octubre - Diciembre,Secretaría de Seguridad Publica y Vialidad,Colonia,Enrique  Rangel,Avenida,Avenida Miguel Aleman,103,Sin número,66354,Lunes-Sábado,08:00:00,17:00:00,Area Restringida,129,81 86 76 19 00  Extensión 1940,"25.6634075, -100.4590926",Sabados de 09:00 a 11:00 de la mañana
5,2021,Octubre - Diciembre,Secretaría de Seguridad Publica y Vialidad,Colonia,Enrique  Rangel,Avenida,Avenida Miguel Aleman,103,Sin número,66354,Lunes-Sábado,08:00:00,17:00:00,Liberaciones de vehiculos,305,81 86 76 19 00  Extensión 1940,"25.6634075, -100.4590926",Sabados de 09:00 a 11:00 de la mañana
4,2022,Octubre-Diciembre,Secretaría de Seguridad Publica y Vialidad,Colonia,Enrique  Rangel,Avenida,Avenida Miguel Aleman,103,Sin número,66354,Lunes-Sábado,08:00:00,17:00:00,Licencias,1982,81 86 76 19 00  Extensión 1940,"25.6634075, -100.4590926",Sabados de 09:00 a 11:00 de la mañana
