Numero_de_identificacion,Ejercicio,Mes,Nombre_del_modulo,Tipo_de_asentamiento,Nombre_de_asentamiento,Tipo_de_vialidad,Nombre_de_la_vialidad,Numero_exterior,Numero_interior,Codigo_postal,Dias,Horario_de_apertura,Horario_de_cierre,Servicios,Numero_de_servicios,Telefono_de_contacto,Georreferencia,Nota
003,2021,ABRIL-JUNIO,DIRECCION DE POLICIA,COLONIA,JOAQUIN GARZA Y GARZA,CAMINO,CAMINO A LA PAZ,100,Sin Numero,67267.0,LUNES A DOMINGO,1899-12-31 00:00:00,1899-12-31 00:00:00,"REPORTES ATENDIDOS EN GENERAL (ROBO A CASA HABITACION, ROBO A PERSONA, VOLUMEN ALTO, RIÑA, VIOLENCIA FAMILIAR, LESIONADOS, VIOLACION, ATENTADOS AL PUDOR, ROBO DE VEHICULO, ENTRE OTROS.",1,911.0,"25.6477503, -100.1034522",
004,2021,ABRIL-JUNIO,DIRECCION DE PROTECCION CIVIL,COLONIA,JARDINES DE LA SILLA,CALLE,HEROES DE NACOZARI,Sin Numero,Sin Numero,67288.0,LUNES A DOMINGO,1899-12-31 00:00:00,1899-12-31 00:00:00,"ORDENES DE INSPECCION O COMISION, ESTUDIOS DE AFORO, ANALISIS DE UNIDAD INTERNA.",3,911.0,"25.6346309, -100.1852747",
005,2021,ABRIL-JUNIO,DIRECCION DE BOMBEROS,COLONIA,JOAQUIN GARZA Y GARZA,CAMINO,CAMINO A LA PAZ,Sin Numero,Sin Numero,67267.0,LUNES A DOMINGO,1899-12-31 00:00:00,1899-12-31 00:00:00,"SERVICIO DE AMBULANCIA  EN ACCIDENTES VIALES, POR DESCESO NATURAL, DESCESO VIOLENTO,  ENJAMBRES,TRASLADOS CLINICAS IMSS.",1,911.0,"25.6467004, -100.1016635",
002,2021,ENERO-MARZO,DIRECCION DE VIALIDAD Y TRANSITO,COLONIA,JOAQUIN GARZA Y GARZA,CAMINO,CAMINO A LA PAZ,100,Sin Numero,67267.0,LUNES A DOMINGO,1899-12-31 00:00:00,1899-12-31 00:00:00,"LICENCIAS DE CONDUCIR, APOYO CON UNIDADES EN EVENTOS.PAGO DE MULTAS POR DIVERSAS INFRACCIONES COMETIDAS.",3,911.0,"25.6477503, -100.1034522",
004,2021,ENERO-MARZO,DIRECCION DE PROTECCION CIVIL,COLONIA,JARDINES DE LA SILLA,CALLE,HEROES DE NACOZARI,Sin Numero,Sin Numero,67288.0,LUNES A DOMINGO,1899-12-31 00:00:00,1899-12-31 00:00:00,"ORDENES DE INSPECCION O COMISION, ESTUDIOS DE AFORO, ANALISIS DE UNIDAD INTERNA.",3,911.0,"25.6346309, -100.1852747",
005,2021,ENERO-MARZO,DIRECCION DE BOMBEROS,COLONIA,JOAQUIN GARZA Y GARZA,CAMINO,CAMINO A LA PAZ,Sin Numero,Sin Numero,67267.0,LUNES A DOMINGO,1899-12-31 00:00:00,1899-12-31 00:00:00,"SERVICIO DE AMBULANCIA  EN ACCIDENTES VIALES, POR DESCESO NATURAL, DESCESO VIOLENTO,  ENJAMBRES,TRASLADOS CLINICAS IMSS.",1,911.0,"25.6467004, -100.1016635",
001,2021,OCTUBRE-DICIEMBRE,DIRECCION DE PREVENCION DEL DELITO,COLONIA,JOAQUIN GARZA Y GARZA,CAMINO,CAMINO A LA PAZ,100,S/N,67267.0,LUNES A DOMINGO,LAS 24 HORAS,LAS 24 HORAS,SEGUIMIENTO A REPORTES DE VIOLENCIA FAMILIAR,3,911.0,"25.64750562961595, -100.10292805987667",
001,2021,OCTUBRE-DICIEMBRE,DIRECCION DE PREVENCION DEL DELITO,COLONIA,JOAQUIN GARZA Y GARZA,CAMINO,CAMINO A LA PAZ,100,S/N,67267.0,LUNES A DOMINGO,LAS 24 HORAS,LAS 24 HORAS,DIFUSION DE INFORMACION PREVENTIVA,1200,911.0,"25.647515301381734, -100.10293878871234",
001,2021,OCTUBRE-DICIEMBRE,DIRECCION DE PREVENCION DEL DELITO,COLONIA,JOAQUIN GARZA Y GARZA,CAMINO,CAMINO A LA PAZ,100,S/N,67267.0,LUNES A DOMINGO,LAS 24 HORAS,LAS 24 HORAS,PREVENCION DE LA VIOLENCIA,0,911.0,"25.647544316674285, -100.10291733104103",
001,2021,OCTUBRE-DICIEMBRE,DIRECCION DE PREVENCION DEL DELITO,COLONIA,JOAQUIN GARZA Y GARZA,CAMINO,CAMINO A LA PAZ,100,S/N,67267.0,LUNES A DOMINGO,LAS 24 HORAS,LAS 24 HORAS,CAIPA,137,911.0,"25.6475346449109, -100.10291733104103",
002,2021,OCTUBRE-DICIEMBRE,DIRECCION DE VIALIDAD Y TRANSITO,COLONIA,JOAQUIN GARZA Y GARZA,CAMINO,CAMINO A LA PAZ,100,S/N,67267.0,LUNES A SABADO,08:00 A 16:00,08:00 A 16:00,"LICENCIAS DE CONDUCIR,",651,911.0,"25.64750562961595, -100.10291733104103",
